gender,data,corr,pcorr,fcorr,fpcorr
M,"[[0.97191731 1.29850983 1.32064944 ... 1.19617043 1.1160649  1.00563216]
 [0.96770908 1.52599721 1.26500816 ... 1.15448997 0.99466731 1.06107128]
 [1.13317591 1.35563014 1.29027508 ... 1.03311644 0.95193343 1.05753745]
 ...
 [1.21978275 1.05238548 1.11832217 ... 0.97025565 0.99067466 0.98431738]
 [1.06023603 1.11411918 0.85338047 ... 1.16941903 0.99627577 1.03491968]
 [0.98140907 1.08208776 1.11971413 ... 0.88614857 1.0406758  1.05795512]]","[[ 1.         -0.01318905 -0.00412522 ... -0.05742889 -0.00617931
   0.04175774]
 [-0.01318905  1.          0.65812768 ...  0.03708548  0.40598868
   0.17282923]
 [-0.00412522  0.65812768  1.         ...  0.0530628   0.41520489
   0.20782679]
 ...
 [-0.05742889  0.03708548  0.0530628  ...  1.         -0.02765305
   0.02854787]
 [-0.00617931  0.40598868  0.41520489 ... -0.02765305  1.
   0.23904744]
 [ 0.04175774  0.17282923  0.20782679 ...  0.02854787  0.23904744
   1.        ]]","[[ 1.         -0.5725995   0.3864114  ...  0.12118574  0.15033528
  -0.51291076]
 [-0.5725995   1.          0.81209111 ...  0.50960034  0.44309311
  -0.55104403]
 [ 0.3864114   0.81209111  1.         ... -0.6625035  -0.36715484
   0.53549519]
 ...
 [ 0.12118574  0.50960034 -0.6625035  ...  1.         -0.28692553
   0.33244985]
 [ 0.15033528  0.44309311 -0.36715484 ... -0.28692553  1.
  -0.0646468 ]
 [-0.51291076 -0.55104403  0.53549519 ...  0.33244985 -0.0646468
   1.        ]]","[[ 0.         -0.01318981 -0.00412525 ... -0.05749215 -0.00617939
   0.04178204]
 [-0.01318981  0.          0.7895035  ...  0.0371025   0.43079883
   0.17458155]
 [-0.00412525  0.7895035   0.         ...  0.05311268  0.44188403
   0.21089896]
 ...
 [-0.05749215  0.0371025   0.05311268 ...  0.         -0.0276601
   0.02855563]
 [-0.00617939  0.43079883  0.44188403 ... -0.0276601   0.
   0.24376358]
 [ 0.04178204  0.17458155  0.21089896 ...  0.02855563  0.24376358
   0.        ]]","[[ 0.         -0.65138187  0.40757465 ...  0.12178426  0.15148345
  -0.56667169]
 [-0.65138187  0.          1.13313979 ...  0.56218977  0.47607301
  -0.61987937]
 [ 0.40757465  1.13313979  0.         ... -0.79726236 -0.38513066
   0.59781814]
 ...
 [ 0.12178426  0.56218977 -0.79726236 ...  0.         -0.29521274
   0.34558   ]
 [ 0.15148345  0.47607301 -0.38513066 ... -0.29521274  0.
  -0.06473708]
 [-0.56667169 -0.61987937  0.59781814 ...  0.34558    -0.06473708
   0.        ]]"
M,"[[0.99343857 1.19901831 1.25876161 ... 1.15873154 1.22659674 1.10473757]
 [1.02768114 1.13975686 1.24624068 ... 1.05283952 1.25188619 0.83786277]
 [1.03287145 1.23530551 1.4332826  ... 1.13140131 1.33758254 0.9739482 ]
 ...
 [1.21266174 1.03464865 1.04625918 ... 0.76852687 1.01208095 0.93721003]
 [0.77772571 1.02128073 1.04743583 ... 1.01583945 0.82576629 1.12367462]
 [0.96081582 1.02827369 0.95697141 ... 1.01307096 1.12220961 0.98179626]]","[[ 1.         -0.02666311 -0.03742371 ... -0.09192957  0.07540898
   0.0651589 ]
 [-0.02666311  1.          0.62283653 ...  0.30007452  0.2922014
   0.21214264]
 [-0.03742371  0.62283653  1.         ...  0.22377886  0.3102251
   0.15936936]
 ...
 [-0.09192957  0.30007452  0.22377886 ...  1.          0.20796497
   0.24939968]
 [ 0.07540898  0.2922014   0.3102251  ...  0.20796497  1.
   0.03615719]
 [ 0.0651589   0.21214264  0.15936936 ...  0.24939968  0.03615719
   1.        ]]","[[ 1.          0.62873471  0.56837778 ...  0.41720893  0.84086899
   0.4522597 ]
 [ 0.62873471  1.         -0.50403266 ... -0.20521096 -0.52127451
  -0.24337565]
 [ 0.56837778 -0.50403266  1.         ...  0.02744728 -0.63830878
  -0.65618755]
 ...
 [ 0.41720893 -0.20521096  0.02744728 ...  1.         -0.40194838
   0.26908797]
 [ 0.84086899 -0.52127451 -0.63830878 ... -0.40194838  1.
  -0.67930044]
 [ 0.4522597  -0.24337565 -0.65618755 ...  0.26908797 -0.67930044
   1.        ]]","[[ 0.         -0.02666943 -0.0374412  ... -0.09218986  0.0755524
   0.06525135]
 [-0.02666943  0.          0.72962607 ...  0.3096015   0.30097149
   0.2154139 ]
 [-0.0374412   0.72962607  0.         ...  0.22763066  0.32079447
   0.16073956]
 ...
 [-0.09218986  0.3096015   0.22763066 ...  0.          0.21104338
   0.25477258]
 [ 0.0755524   0.30097149  0.32079447 ...  0.21104338  0.
   0.03617296]
 [ 0.06525135  0.2154139   0.16073956 ...  0.25477258  0.03617296
   0.        ]]","[[ 0.          0.73932093  0.64512319 ...  0.44430796  1.22413259
   0.48753739]
 [ 0.73932093  0.         -0.55469756 ... -0.20816659 -0.5780882
  -0.24835918]
 [ 0.64512319 -0.55469756  0.         ...  0.02745418 -0.75531445
  -0.78608864]
 ...
 [ 0.44430796 -0.20816659  0.02745418 ...  0.         -0.42597059
   0.27588033]
 [ 1.22413259 -0.5780882  -0.75531445 ... -0.42597059  0.
  -0.82781392]
 [ 0.48753739 -0.24835918 -0.78608864 ...  0.27588033 -0.82781392
   0.        ]]"
M,"[[0.98743689 1.36549729 1.3254998  ... 1.12171358 1.02280215 1.13482235]
 [1.16559166 1.45687938 1.27362395 ... 1.08163192 1.27806688 1.10948761]
 [0.94198771 1.3135217  1.18065117 ... 1.08162029 1.05952148 1.00912408]
 ...
 [1.16812614 0.92466438 1.03861053 ... 0.8805645  1.10948709 1.03506284]
 [1.04851628 1.03249522 1.06690885 ... 0.98037175 1.10428308 1.10457455]
 [1.10714289 0.94883117 1.22065779 ... 1.07399142 1.03916993 0.9980776 ]]","[[ 1.         -0.15989883 -0.03086077 ...  0.10887746  0.1088056
   0.0540555 ]
 [-0.15989883  1.          0.53657778 ...  0.1194813   0.44091006
   0.20946546]
 [-0.03086077  0.53657778  1.         ...  0.12301135  0.49273078
   0.29930922]
 ...
 [ 0.10887746  0.1194813   0.12301135 ...  1.         -0.05371076
   0.0108626 ]
 [ 0.1088056   0.44091006  0.49273078 ... -0.05371076  1.
   0.19826736]
 [ 0.0540555   0.20946546  0.29930922 ...  0.0108626   0.19826736
   1.        ]]","[[ 1.          0.54125911  0.55737294 ...  0.62372487 -0.49955799
  -0.28744023]
 [ 0.54125911  1.         -0.72674311 ... -0.74957433  0.23796448
   0.16294117]
 [ 0.55737294 -0.72674311  1.         ... -0.59826169  0.5041555
   0.25438237]
 ...
 [ 0.62372487 -0.74957433 -0.59826169 ...  1.          0.29186673
   0.1075195 ]
 [-0.49955799  0.23796448  0.5041555  ...  0.29186673  1.
  -0.41568189]
 [-0.28744023  0.16294117  0.25438237 ...  0.1075195  -0.41568189
   1.        ]]","[[ 0.         -0.16128287 -0.03087057 ...  0.10931077  0.10923805
   0.05410825]
 [-0.16128287  0.          0.59933722 ...  0.12005479  0.47335991
   0.21261221]
 [-0.03087057  0.59933722  0.         ...  0.1236375   0.5396603
   0.30876068]
 ...
 [ 0.10931077  0.12005479  0.1236375  ...  0.         -0.0537625
   0.01086302]
 [ 0.10923805  0.47335991  0.5396603  ... -0.0537625   0.
   0.20092837]
 [ 0.05410825  0.21261221  0.30876068 ...  0.01086302  0.20092837
   0.        ]]","[[ 0.          0.60593471  0.62901405 ...  0.73107875 -0.54871697
  -0.29577371]
 [ 0.60593471  0.         -0.92178999 ... -0.97198282  0.2426153
   0.1644066 ]
 [ 0.62901405 -0.92178999  0.         ... -0.69043548  0.55486226
   0.26009285]
 ...
 [ 0.73107875 -0.97198282 -0.69043548 ...  0.          0.30060561
   0.10793672]
 [-0.54871697  0.2426153   0.55486226 ...  0.30060561  0.
  -0.44246052]
 [-0.29577371  0.1644066   0.26009285 ...  0.10793672 -0.44246052
   0.        ]]"
M,"[[0.96428584 1.05924605 1.11360055 ... 1.05344524 1.03679912 0.96199561]
 [0.84676039 1.25659793 1.27373714 ... 1.1237993  1.35871041 1.02422909]
 [0.98816809 1.61175256 1.41483802 ... 0.92944221 1.23482244 1.05144716]
 ...
 [0.89871797 0.7763711  0.92498465 ... 0.92622407 0.91200747 0.96573771]
 [1.00938423 0.9178292  0.77298471 ... 0.95163809 0.97672483 0.96163979]
 [0.97669369 0.85365719 0.95834808 ... 1.0455546  0.95942522 1.09900463]]","[[ 1.          0.10490877  0.13557014 ...  0.21249325  0.09885952
  -0.03155948]
 [ 0.10490877  1.          0.69682185 ...  0.14617854  0.56167519
   0.34392412]
 [ 0.13557014  0.69682185  1.         ...  0.22443653  0.52108976
   0.29586492]
 ...
 [ 0.21249325  0.14617854  0.22443653 ...  1.          0.15810268
   0.21584529]
 [ 0.09885952  0.56167519  0.52108976 ...  0.15810268  1.
   0.24100245]
 [-0.03155948  0.34392412  0.29586492 ...  0.21584529  0.24100245
   1.        ]]","[[ 1.          0.11835883 -0.7820138  ...  0.72107335  0.04029465
   0.22309951]
 [ 0.11835883  1.          0.376793   ... -0.23381459 -0.1307229
   0.11181079]
 [-0.7820138   0.376793    1.         ...  0.77537876  0.13696094
   0.30740302]
 ...
 [ 0.72107335 -0.23381459  0.77537876 ...  1.          0.00381644
  -0.3054271 ]
 [ 0.04029465 -0.1307229   0.13696094 ...  0.00381644  1.
   0.03789097]
 [ 0.22309951  0.11181079  0.30740302 ... -0.3054271   0.03789097
   1.        ]]","[[ 0.          0.1052962   0.13640999 ...  0.21578106  0.09918348
  -0.03156997]
 [ 0.1052962   0.          0.86109584 ...  0.14723328  0.63527707
   0.35853631]
 [ 0.13640999  0.86109584  0.         ...  0.22832311  0.57783456
   0.30498172]
 ...
 [ 0.21578106  0.14723328  0.22832311 ...  0.          0.15944014
   0.21929424]
 [ 0.09918348  0.63527707  0.57783456 ...  0.15944014  0.
   0.2458381 ]
 [-0.03156997  0.35853631  0.30498172 ...  0.21929424  0.2458381
   0.        ]]","[[ 0.          0.11891621 -1.0505338  ...  0.9098773   0.04031648
   0.22691562]
 [ 0.11891621  0.          0.39631671 ... -0.23822088 -0.13147525
   0.11228026]
 [-1.0505338   0.39631671  0.         ...  1.03367673  0.13782709
   0.31767488]
 ...
 [ 0.9098773  -0.23822088  1.03367673 ...  0.          0.00381646
  -0.31549421]
 [ 0.04031648 -0.13147525  0.13782709 ...  0.00381646  0.
   0.03790912]
 [ 0.22691562  0.11228026  0.31767488 ... -0.31549421  0.03790912
   0.        ]]"
M,"[[0.90285881 1.35349645 1.24347798 ... 1.02400526 1.09092308 0.87998089]
 [0.90223005 1.29496681 1.32849052 ... 0.96229949 1.27056262 1.02954877]
 [1.13031172 1.27692035 1.33514785 ... 0.95270618 1.16957006 1.03662698]
 ...
 [1.0280915  1.04992994 0.96278522 ... 1.13162273 0.92263723 1.18606399]
 [1.0216977  0.89721368 0.91712327 ... 1.01523501 0.94368952 1.02273775]
 [0.97555751 1.10350009 0.89031676 ... 0.99527246 1.14796297 1.22100846]]","[[ 1.          0.13471762  0.14663853 ...  0.13871486  0.21925917
  -0.05987092]
 [ 0.13471762  1.          0.67473868 ...  0.20376061  0.37226496
   0.22317841]
 [ 0.14663853  0.67473868  1.         ...  0.1496686   0.40631726
   0.13219123]
 ...
 [ 0.13871486  0.20376061  0.1496686  ...  1.          0.06414133
   0.06098205]
 [ 0.21925917  0.37226496  0.40631726 ...  0.06414133  1.
   0.06754549]
 [-0.05987092  0.22317841  0.13219123 ...  0.06098205  0.06754549
   1.        ]]","[[ 1.          0.68710521  0.22069275 ...  0.66432223  0.24872002
  -0.64284194]
 [ 0.68710521  1.         -0.68242287 ... -0.05487269 -0.7445107
   0.33258782]
 [ 0.22069275 -0.68242287  1.         ...  0.45934258 -0.86575382
  -0.29187708]
 ...
 [ 0.66432223 -0.05487269  0.45934258 ...  1.          0.35221037
   0.76061917]
 [ 0.24872002 -0.7445107  -0.86575382 ...  0.35221037  1.
  -0.07202318]
 [-0.64284194  0.33258782 -0.29187708 ...  0.76061917 -0.07202318
   1.        ]]","[[ 0.          0.1355416   0.14770335 ...  0.13961498  0.22287773
  -0.05994261]
 [ 0.1355416   0.          0.81939175 ...  0.20665295  0.39104987
   0.22699865]
 [ 0.14770335  0.81939175  0.         ...  0.15080143  0.43119231
   0.1329694 ]
 ...
 [ 0.13961498  0.20665295  0.15080143 ...  0.          0.06422951
   0.06105781]
 [ 0.22287773  0.39104987  0.43119231 ...  0.06422951  0.
   0.06764849]
 [-0.05994261  0.22699865  0.1329694  ...  0.06105781  0.06764849
   0.        ]]","[[ 0.          0.84245121  0.22438421 ...  0.80051079  0.25404797
  -0.76300224]
 [ 0.84245121  0.         -0.83363475 ... -0.05492786 -0.96052443
   0.34573512]
 [ 0.22438421 -0.83363475  0.         ...  0.49647774 -1.31587257
  -0.30061693]
 ...
 [ 0.80051079 -0.05492786  0.49647774 ...  0.          0.36796492
   0.99768257]
 [ 0.25404797 -0.96052443 -1.31587257 ...  0.36796492  0.
  -0.07214811]
 [-0.76300224  0.34573512 -0.30061693 ...  0.99768257 -0.07214811
   0.        ]]"
M,"[[1.06504609 1.2366432  1.17143607 ... 0.92088695 1.0957719  1.03388464]
 [1.07661147 1.08193765 1.15835343 ... 0.928688   1.00168821 1.00523938]
 [0.9607443  1.23770849 1.12656114 ... 1.14751618 0.99445238 0.89198172]
 ...
 [1.02881444 1.01692316 0.81829842 ... 1.20441537 0.94216378 1.14621252]
 [0.98584588 0.86238501 1.04164214 ... 0.99785712 1.04333071 1.09733305]
 [1.06098073 1.08024609 1.03502887 ... 1.16823213 0.94524105 0.85675322]]","[[ 1.          0.12790789  0.04983867 ... -0.09615802  0.04612108
   0.04867046]
 [ 0.12790789  1.          0.61224965 ...  0.03967256  0.37974949
   0.15130294]
 [ 0.04983867  0.61224965  1.         ...  0.04998008  0.38424773
   0.17207868]
 ...
 [-0.09615802  0.03967256  0.04998008 ...  1.          0.18180303
  -0.11487753]
 [ 0.04612108  0.37974949  0.38424773 ...  0.18180303  1.
   0.23951171]
 [ 0.04867046  0.15130294  0.17207868 ... -0.11487753  0.23951171
   1.        ]]","[[ 1.         -0.34851442  0.79601879 ... -0.83124627 -0.80690826
  -0.72664116]
 [-0.34851442  1.          0.34235368 ... -0.20556079 -0.26230295
  -0.21584282]
 [ 0.79601879  0.34235368  1.         ...  0.62947307  0.6081936
   0.47171899]
 ...
 [-0.83124627 -0.20556079  0.62947307 ...  1.         -0.9508168
  -0.94998643]
 [-0.80690826 -0.26230295  0.6081936  ... -0.9508168   1.
  -0.94791358]
 [-0.72664116 -0.21584282  0.47171899 ... -0.94998643 -0.94791358
   1.        ]]","[[ 0.          0.12861236  0.04988    ... -0.09645604  0.04615383
   0.04870895]
 [ 0.12861236  0.          0.71251204 ...  0.03969339  0.39976689
   0.15247363]
 [ 0.04988     0.71251204  0.         ...  0.05002176  0.40503369
   0.17380799]
 ...
 [-0.09645604  0.03969339  0.05002176 ...  0.          0.18384672
  -0.11538691]
 [ 0.04615383  0.39976689  0.40503369 ...  0.18384672  0.
   0.24425604]
 [ 0.04870895  0.15247363  0.17380799 ... -0.11538691  0.24425604
   0.        ]]","[[ 0.         -0.36375179  1.08764993 ... -1.1921558  -1.11810356
  -0.92157395]
 [-0.36375179  0.          0.35675628 ... -0.20853183 -0.26857991
  -0.21929166]
 [ 1.08764993  0.35675628  0.         ...  0.74054292  0.7060495
   0.512279  ]
 ...
 [-1.1921558  -0.20853183  0.74054292 ...  0.         -1.84022569
  -1.83164163]
 [-1.11810356 -0.26857991  0.7060495  ... -1.84022569  0.
  -1.81080492]
 [-0.92157395 -0.21929166  0.512279   ... -1.83164163 -1.81080492
   0.        ]]"
M,"[[0.9319814  1.32337615 1.34098337 ... 1.09110417 1.05935025 1.14413229]
 [1.12433499 1.44707662 1.1336419  ... 0.85561452 1.24255761 1.08332033]
 [0.93656654 1.10721068 1.31701336 ... 1.06390032 1.11220418 0.93585814]
 ...
 [0.95369091 1.09509411 0.92292541 ... 0.95290043 0.86079916 1.00032615]
 [0.99955273 1.12289161 0.98635484 ... 0.75846669 1.11190488 0.96138457]
 [1.00620452 0.99630487 1.03948243 ... 0.9521511  1.08337608 1.09511141]]","[[ 1.          0.14075997  0.03842168 ... -0.00870484 -0.04603367
  -0.00589944]
 [ 0.14075997  1.          0.49975858 ...  0.13103976  0.33894375
   0.13828188]
 [ 0.03842168  0.49975858  1.         ...  0.27597595  0.30119525
   0.07097843]
 ...
 [-0.00870484  0.13103976  0.27597595 ...  1.          0.0228944
  -0.07167736]
 [-0.04603367  0.33894375  0.30119525 ...  0.0228944   1.
   0.31146493]
 [-0.00589944  0.13828188  0.07097843 ... -0.07167736  0.31146493
   1.        ]]","[[ 1.         -0.59571458  0.35825632 ...  0.20429751  0.17470648
  -0.16497992]
 [-0.59571458  1.         -0.07453086 ...  0.25475408  0.61154743
  -0.42406808]
 [ 0.35825632 -0.07453086  1.         ... -0.0468898   0.54125096
  -0.74568248]
 ...
 [ 0.20429751  0.25475408 -0.0468898  ...  1.         -0.3891553
   0.09721713]
 [ 0.17470648  0.61154743  0.54125096 ... -0.3891553   1.
   0.8269049 ]
 [-0.16497992 -0.42406808 -0.74568248 ...  0.09721713  0.8269049
   1.        ]]","[[ 0.          0.14170083  0.03844061 ... -0.00870506 -0.04606623
  -0.00589951]
 [ 0.14170083  0.          0.54898431 ...  0.13179763  0.3528987
   0.13917354]
 [ 0.03844061  0.54898431  0.         ...  0.283321    0.31083359
   0.07109798]
 ...
 [-0.00870506  0.13179763  0.283321   ...  0.          0.0228984
  -0.07180049]
 [-0.04606623  0.3528987   0.31083359 ...  0.0228984   0.
   0.32216691]
 [-0.00589951  0.13917354  0.07109798 ... -0.07180049  0.32216691
   0.        ]]","[[ 0.         -0.68647791  0.37488404 ...  0.20721317  0.17651724
  -0.16650168]
 [-0.68647791  0.         -0.07466932 ...  0.26049031  0.71138952
  -0.45264172]
 [ 0.37488404 -0.07466932  0.         ... -0.04692421  0.60592318
  -0.96315866]
 ...
 [ 0.20721317  0.26049031 -0.04692421 ...  0.         -0.4108042
   0.09752515]
 [ 0.17651724  0.71138952  0.60592318 ... -0.4108042   0.
   1.17826869]
 [-0.16650168 -0.45264172 -0.96315866 ...  0.09752515  1.17826869
   0.        ]]"
M,"[[0.92908041 1.31962309 1.05285481 ... 1.00452295 1.23400793 0.86483764]
 [1.24477774 1.26024382 1.31954103 ... 1.16206693 0.90046491 0.91588193]
 [1.1415912  0.99497348 1.33441579 ... 0.8664812  1.15367987 1.03644184]
 ...
 [1.2030737  0.97790725 0.98073748 ... 0.98173573 0.90087522 1.19976283]
 [0.91397666 0.83459412 1.04457419 ... 1.13965449 1.09456602 1.06260493]
 [0.91647302 0.92531872 0.95923556 ... 1.00835722 0.99347276 1.15117049]]","[[ 1.          0.25535567  0.18719165 ...  0.09621956  0.10959016
   0.05249717]
 [ 0.25535567  1.          0.67361078 ...  0.00387813  0.4880026
   0.35817377]
 [ 0.18719165  0.67361078  1.         ... -0.08939533  0.39725467
   0.28961212]
 ...
 [ 0.09621956  0.00387813 -0.08939533 ...  1.         -0.08872417
  -0.04199022]
 [ 0.10959016  0.4880026   0.39725467 ... -0.08872417  1.
   0.15741943]
 [ 0.05249717  0.35817377  0.28961212 ... -0.04199022  0.15741943
   1.        ]]","[[ 1.          0.94888082 -0.69649797 ...  0.73631181 -0.16889959
  -0.68134712]
 [ 0.94888082  1.          0.58457416 ... -0.671492    0.14131135
   0.58314646]
 [-0.69649797  0.58457416  1.         ...  0.51814586 -0.10027623
  -0.79380867]
 ...
 [ 0.73631181 -0.671492    0.51814586 ...  1.         -0.01217316
   0.63824778]
 [-0.16889959  0.14131135 -0.10027623 ... -0.01217316  1.
  -0.02572324]
 [-0.68134712  0.58314646 -0.79380867 ...  0.63824778 -0.02572324
   1.        ]]","[[ 0.          0.26113376  0.18942525 ...  0.09651816  0.11003207
   0.05254547]
 [ 0.26113376  0.          0.81732406 ...  0.00387815  0.53343521
   0.37478933]
 [ 0.18942525  0.81732406  0.         ... -0.08963461  0.42038493
   0.29814282]
 ...
 [ 0.09651816  0.00387815 -0.08963461 ...  0.         -0.08895809
  -0.04201493]
 [ 0.11003207  0.53343521  0.42038493 ... -0.08895809  0.
   0.15873944]
 [ 0.05254547  0.37478933  0.29814282 ... -0.04201493  0.15873944
   0.        ]]","[[ 0.          1.82042541 -0.86046655 ...  0.9423756  -0.17053372
  -0.83162413]
 [ 1.82042541  0.          0.66938343 ... -0.81345536  0.1422634
   0.66721731]
 [-0.86046655  0.66938343  0.         ...  0.57380179 -0.10061438
  -1.08164592]
 ...
 [ 0.9423756  -0.81345536  0.57380179 ...  0.         -0.01217376
   0.75521151]
 [-0.17053372  0.1422634  -0.10061438 ... -0.01217376  0.
  -0.02572891]
 [-0.83162413  0.66721731 -1.08164592 ...  0.75521151 -0.02572891
   0.        ]]"
M,"[[1.16863572 1.42527139 1.28793634 ... 0.91612925 1.01386998 1.13242199]
 [1.1192227  1.43478201 1.42350033 ... 0.87207755 0.93297525 1.06154128]
 [0.97067614 1.24664215 1.25336563 ... 0.95482677 1.14486344 1.18755297]
 ...
 [1.09298382 1.12741062 0.99064528 ... 1.06621094 1.10113704 0.87448479]
 [0.84747083 1.15541307 1.06668935 ... 0.916896   1.05358353 0.93142512]
 [0.86839961 0.91414851 1.03837983 ... 0.98312023 1.03411256 0.64771265]]","[[ 1.          0.26702882  0.15247278 ...  0.00834042  0.0880956
   0.05784978]
 [ 0.26702882  1.          0.65572945 ...  0.07679983  0.30448006
   0.09094604]
 [ 0.15247278  0.65572945  1.         ... -0.06135793  0.17558651
  -0.02809378]
 ...
 [ 0.00834042  0.07679983 -0.06135793 ...  1.          0.04791291
  -0.17815521]
 [ 0.0880956   0.30448006  0.17558651 ...  0.04791291  1.
  -0.01481634]
 [ 0.05784978  0.09094604 -0.02809378 ... -0.17815521 -0.01481634
   1.        ]]","[[ 1.         -0.45594329 -0.89604019 ... -0.9596585  -0.14547512
  -0.93132826]
 [-0.45594329  1.         -0.20543694 ... -0.4812394   0.18812784
  -0.54240199]
 [-0.89604019 -0.20543694  1.         ... -0.8917901  -0.29488116
  -0.90029576]
 ...
 [-0.9596585  -0.4812394  -0.8917901  ...  1.         -0.17246143
  -0.92384569]
 [-0.14547512  0.18812784 -0.29488116 ... -0.17246143  1.
  -0.21106747]
 [-0.93132826 -0.54240199 -0.90029576 ... -0.92384569 -0.21106747
   1.        ]]","[[ 0.          0.27366177  0.1536711  ...  0.00834062  0.08832456
   0.05791444]
 [ 0.27366177  0.          0.78528455 ...  0.07695136  0.31445007
   0.09119804]
 [ 0.1536711   0.78528455  0.         ... -0.0614351   0.17742513
  -0.02810117]
 ...
 [ 0.00834062  0.07695136 -0.0614351  ...  0.          0.04794963
  -0.18007678]
 [ 0.08832456  0.31445007  0.17742513 ...  0.04794963  0.
  -0.01481742]
 [ 0.05791444  0.09119804 -0.02810117 ... -0.18007678 -0.01481742
   0.        ]]","[[ 0.         -0.49217789 -1.45175925 ... -1.94157244 -0.14651458
  -1.66831274]
 [-0.49217789  0.         -0.20840251 ... -0.52459597  0.19039561
  -0.60755256]
 [-1.45175925 -0.20840251  0.         ... -1.43060297 -0.30390392
  -1.47377831]
 ...
 [-1.94157244 -0.52459597 -1.43060297 ...  0.         -0.17420244
  -1.61465989]
 [-0.14651458  0.19039561 -0.30390392 ... -0.17420244  0.
  -0.21428832]
 [-1.66831274 -0.60755256 -1.47377831 ... -1.61465989 -0.21428832
   0.        ]]"
M,"[[1.00173966 1.28603584 1.23774978 ... 1.03450352 1.07721275 0.98840675]
 [1.02410745 1.36901747 1.31145091 ... 1.10976935 1.09524676 0.94086157]
 [0.92641207 1.42095777 1.36270663 ... 1.09196636 1.11244198 0.9997384 ]
 ...
 [1.11498427 0.9207511  0.93222824 ... 0.87198141 1.13246025 1.07532604]
 [1.01399195 1.12912515 1.02959035 ... 1.09925172 0.89643637 0.92703372]
 [0.81196793 0.70512313 1.21047798 ... 0.98637255 1.07809825 0.95252478]]","[[ 1.          0.04413915 -0.01283947 ...  0.02018019 -0.03494972
  -0.1939452 ]
 [ 0.04413915  1.          0.64440647 ...  0.2054438   0.4100027
   0.2461501 ]
 [-0.01283947  0.64440647  1.         ...  0.19843185  0.40286562
   0.04007039]
 ...
 [ 0.02018019  0.2054438   0.19843185 ...  1.          0.05555392
   0.07211333]
 [-0.03494972  0.4100027   0.40286562 ...  0.05555392  1.
   0.19984884]
 [-0.1939452   0.2461501   0.04007039 ...  0.07211333  0.19984884
   1.        ]]","[[ 1.          0.751621   -0.08210268 ...  0.45864189 -0.11655365
  -0.72379364]
 [ 0.751621    1.         -0.19939722 ... -0.31735039 -0.03836757
   0.60818005]
 [-0.08210268 -0.19939722  1.         ... -0.16516318  0.36832974
  -0.18669289]
 ...
 [ 0.45864189 -0.31735039 -0.16516318 ...  1.          0.50281782
   0.67465967]
 [-0.11655365 -0.03836757  0.36832974 ...  0.50281782  1.
   0.03894068]
 [-0.72379364  0.60818005 -0.18669289 ...  0.67465967  0.03894068
   1.        ]]","[[ 0.          0.04416785 -0.01284018 ...  0.02018293 -0.03496396
  -0.19643333]
 [ 0.04416785  0.          0.76567324 ...  0.20840968  0.43561447
   0.25131044]
 [-0.01284018  0.76567324  0.         ...  0.2010996   0.42706505
   0.04009186]
 ...
 [ 0.02018293  0.20840968  0.2010996  ...  0.          0.05561118
   0.07223873]
 [-0.03496396  0.43561447  0.42706505 ...  0.05561118  0.
   0.2025751 ]
 [-0.19643333  0.25131044  0.04009186 ...  0.07223873  0.2025751
   0.        ]]","[[ 0.          0.97667056 -0.08228791 ...  0.49559004 -0.11708578
  -0.91556723]
 [ 0.97667056  0.         -0.20210474 ... -0.328698   -0.03838642
   0.70602799]
 [-0.08228791 -0.20210474  0.         ... -0.16669007  0.3864893
  -0.18890843]
 ...
 [ 0.49559004 -0.328698   -0.16669007 ...  0.          0.55307033
   0.81924672]
 [-0.11708578 -0.03838642  0.3864893  ...  0.55307033  0.
   0.03896038]
 [-0.91556723  0.70602799 -0.18890843 ...  0.81924672  0.03896038
   0.        ]]"
